,Comune,Come dici grembiule?,Come dici maiale?,Come dici ciabatta?,Come dici orologio?,Come dici cotechino grigliato?,Come dici tasca?,Come dici ragnatela?,Come dici talpa?,Come dici coperchio?,Come dici Fiammifero?,Come dici Imbuto?,Come dici Roncola?,Come dici Pop Corn?,Come dici Sasso?,Come dici Gallina?,Come dici Albicocca?,Come dici Briciole?,Come dici Panettiere?,Come dici Macellaio?,Come dici Libellula?,Come dici Pettegola?,Come dici Scapolo?,Come dici l'Asso di Bastoni?,Come dici l'Asso di Coppe?,Come dici Ombelico?,Come dici Bagnato?,Come dici l'Asso di Ori?,Come dici l'Asso di Spade?,Come dici Fradicio?
60,Castelli Calepio,bigaröl,Sunì,söbra,Orolòi,Cudeghì,Scarsèla,Talamora,Topina,Coèrcc,Solfanèl,Pedriöl,Podet,Nessun Dato,Plòch,Poia,Mignaga,Migle,Fornér,Bechér,scanaöcc,petònega,Pöt,l'ass de bastù,ol pisalobia,bigol,Bagnàt,l'ass de ori,l'ass de spade,Trubatit
61,Castione della Presolana,bigaröl,Porsèl,saàta,Orolòi,Strinù,Gaiòfa,Telemora,Tupina,Coèrcc,Solfanèl,Pedriöl,Podet,s-cioparöle,Plòch,Galina,Albicòch,Migole,Fornér,Macelér,becaöcc,petònega,Pötvecc,ol vincerai,ol pisagì,Butù del veter,Bagnàt,La luna,l'ass de spade,Bagnàt
62,Castro,Nessun Dato,Nessun Dato,Nessun Dato,Relòi,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Cogol,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,petònega,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato
63,Cavernago,bigaröla,Sunì,sibra,Orolòi,Codeghì,Scarsèla,Tiramola,tópa,Coèrcc,Fiamifer,Pedriöl,Podet,s-cioparöle,Plòch,Poia,Bignaga,Migle,Fornér,Bechér,becaöcc,petònega,Pöt,ol vincerai,ol pisagì,butù,Bagnàt,l'ass de ori,l'ass de spade,Bagnàt
64,Cazzano Sant'Andrea,bigaröla,Sunì,Zöbra,Nessun Dato,Strinù,Gaiòfa,Telemora,topinéra,Coèrcc,Zàc,Pedriöl,Podet,Nessun Dato,Plòch,Poia,Mignaga,Migle,Fornér,Bechér,becaöcc,petònega,Pötvecc,l'ass de bastù,ol pesacì,butù,Bagnàt,la pula,l'ass de spade,Mezz
65,Cenate Sopra,bigaröla,Sunì,sébra,Leròi,Codeghì,Scarsèla,Tiramora ,topinéra,Coèrcc,Solfanèl,Pedriöl,Podet,s-ciuparöle,Plòch,Poia,Bignaga,Migle,Fornér,Macelér,becaöcc,petònega,Pötvecc,ol vincerai,ol pisalobia,butù,Bagnàt,ol bosla,l'ass de spade,Tròbatit
66,Cenate Sotto,scossàl,Sunì,sébra,Nessun Dato,"Strinù solo se accompagnato dal ""pà"" altrimenti salamella",Scarsèla,Tilamora,Nessun Dato,Coèrcc,Fölminànt,Pedriöl,Podet,Biscutì,Plòch,Poia,Bignaga,Nessun Dato,Fornér,Macelér,becaöcc,petònega,Pötvecc,Nessun Dato,Nessun Dato,butù,Bagnàt,Nessun Dato,Nessun Dato,Bagnàt
67,Cene,scossàl,Sunì,sébra,Orolòi,Strinù,Scarsèla,Tiramore,topinéra,Coèrcc,Solfanèl,Pedriöl,Podet,méche,Plòch,Poia,Bignaga,Migle,Fornér,Bechér,becaöcc,petònega,Pötvecc,ol vincerai,ol pisalobia,butù,Bagnàt,l'ass de ori,l'ass de spade,Bagnàt
68,Cerete,bigaröl,Porsèl,saàta,Nessun Dato,Strinù,Nessun Dato,tilemora,Nessun Dato,Coèrcc,Solfanèl,Pedriöl,Podet,Nessun Dato,Plòch,Poia,Bignaga,Fregoie,Fornér,Bechér,becaöcc,petònega,Barba,ol vincerai,ol pisì,Nessun Dato,Méss,l'ass de ori,l'ass de spade,Méss cúss
69,Chignolo d'Isola,scussàl,Sunì,sébra,Urlòi,Cudeghì,Sacòcia,Tiramola,tarfù,Coèrcc,Solferì,Pedriöl,Pighess,méche,Sàss,Poia,Mignaga,Gandaie,Prestinér,Macelér,scanaöcc,petònega,Barba,l'ass de bastù,ol pisì,butù,Bagnàt,la borla,l'ass de spade,Maserét
70,Chiuduno,scossalina,Sunì,söbra,Orolòi,Codeghì,Scarsèla,Tiramola,tarfù,Coèrcc,Solfanèl,Pedriöl,Podet,s-cioparöle,Plòch,Poia,Bignaga,Migle,Fornér,Bechér,becaöcc,petònega,Pötvecc,ol vincerai,ol pisalobia,butù,Bagnàt,la borla,l'ass de spade,Bagnàt
71,Cisano Bergamasco,scussàl,Sunì,sébra,Urlòi,Cudeghì,Sacòcia,Tiramola,Nessun Dato,Coèrcc,Fiamifer,Pedriöl,Pigassa,s-ciuparöle,Sàss,Poia,Mugnaga,Gandaie,Prestinér,Macelér,becaöcc,petònega,Barba,l'ass de bastù,l'ass de coppe,butù,Bagnàt,l'ass de ori,l'ass de spade,Maserét
72,Ciserano,bigaröla,Pursèl,sibra,Orolòi,Codeghì,Scarsèla,Tiramola,Nessun Dato,Coèrcc,Solfanèl,Pedriöl,Pighess,méche,Sàss,Poia,Mignaga,Fregoie,Prestinér,Macelér,Nessun Dato,petònega,Marèll,ol vincerai,ol pisagì,butù,Bagnàt,Masenghini,l'ass de spade,Maserét
73,Cividate al Piano,scossàl,Sunì,sapata,Orolòi,Codeghì,Scarsèla,Talamora,tópa,Coèrcc,Solfanèl,Pedriöl,Podet,Michí,Plòch,Galina,Albicòch,Migole,Fornér,Macelér,Nessun Dato,petònega,Pöt,ol vincerai,ol pisagì,bigol,Bagnàt,l'ass de ori,l'ass de spade,Bagnàt
74,Clusone,bigaröla,Pursèl,saàta,Leròi,Strinù,Scarsèla,Tilimora,topinéra,Coèrcc,Solfanèl,Pedriöl,Podet,s-ciuparöle,Plòch,Poia,Bignaga,Migle,Fornér,Macelér,becaöcc,petònega,Pötvecc,ol vincerai,ol pisagì,butù,Méss,la formaggia,l'ass de spade,Bagnàt
75,Colere,bigaröl,Pursèl,Hibràtulo,Relòi,Strinù,Guèfo,Telemora,topinéra,Taèl,Fiamifer,Pedriöl,Pudeta,s-cioparöle,Cörna,Galina,Albicòch,Migole,Paneter,Bechér,Nessun Dato,petònega,Pötvecc,l'ass de bastù,l'ass de coppe,butù,Bagnàt,L'ass de dener,l'ass de spade,Bagnàt
76,Cologno al Serio,bigaröla,Sunì,sibra,Orolòi,Codeghì,Scarsèla,Tiramola,tarfù,Coèrcc,Solfanèl,Pedriöl,Pighess,méche,Plòch,Poia,Bignaga,Fregoie,Fornér,Macelér,becaöcc,petònega,Pöt,l'ass de bastù,l'ass de coppe,butù,Bagnàt,l'ass de ori,l'ass de spade,Bagnàt
77,Colzate,bigaröl,Porsèl,sébra,Leròi,Strinù,Gaiòfa,Telemora,topinéra,Coèrcc,Solfanèl,Pedriöl,Podet,s-cioparöle,Plòch,Poia,Bignaga,Migole,Fornér,Macelér,becaöcc,petònega,Pötvecc,ol bastù,ol pisagì,butù,Méss,La polenta ,ol taiamerde,Méss
78,Comun Nuovo,scossàl,Sunì,sibra,Orolòi,Codeghì,Scarsèla,Tiramola,Nessun Dato,Coèrcc,Solfanèl,Pedriöl,Pighess,Pop corn,Plòch,Poia,Mignaga,Migole,Fornér,Bechér,Nessun Dato,petònega,Pötvecc,l'ass de bastù,ol pisì,butù,Bagnàt,l'ass de ori,l'ass de spade,Maserét
79,Corna Imagna,Begaröl,Porsèl,sébra,Leròi,Cudeghì,Gaiòfa,Telemora,tópa,Coèrcc,Solfanèl,Pedriöl,Corlass,s-cioparöle,Plòch,Galina,Bignaga,Gandaie,Fornér,Macelér,becaöcc,petònega,Bàrba,ol vincerai,ol pisalobia,butù,Bagnàt,la formaggia,l'ass de spade,Maserét
80,Cornalba,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Gaiòfa,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Corlass,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato
81,Cortenuova,scossàl,Roi,sibra,Orolòi,Codeghì,Scarsèla,Tiramola,tópa,Coèrcc,Solfanèl,Pedriöl,Podet,s-scioparöle,Plòch,Poia,Nessun Dato,meche,Fornér,Macelér,Nessun Dato,petònega,Pöt,l'ass de bastù,ol pisagì,butù,Bagnàt,l'ass de ori,l'ass de spade,Bagnàt
82,Costa Serina,scossàl,Sunì,sébra,Nessun Dato,Nessun Dato,Gaiòfa,Telimora,tópa,Coèrcc,Fiamifer,Nessun Dato,Corlass,méche,Plòch,Poia,Mignaga,Migole,Fornér,Becherí,becaöcc,petònega,Pötvecc,ol vincerai,ol pisagì,Nessun Dato,Bagnàt,la borla,l'ass de spade,Maserét
83,Costa Valle Imagna,bigaröl,Ciù,sébra,Leròi,Codeghì,Gaiòfa,Telemora,tópa,Taèl,Fiamifer,Pedriöl,Pigassa,Nessun Dato,Sàss,Poia,Albicòch,Nessun Dato,Prestinér,Macelér,Nessun Dato,petònega,Marèll,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato
84,Costa Volpino,bigaröl,Porsèl,Hapàta,Orolòi,Strinù,Scarsèla,Taramora,Tupina,Coèrcc,Solfanèl,Turtaröl,Podet,colombine,Plòch,Galina,Albicòch,Migole,Fornér,Macelér,Libelula,petònega,Pöt,l'ass de bastù,l'ass de coppe,bigol,Bagnàt,l'ass de ori,l'ass de spade,Bagnàt
85,Costa di Mezzate,scossalina,Sunì,sébra,Relòi,Codeghì,Scarsèla,Tiramora,tópa,Coèrcc,Fiamifer,Pedriöl,Podet,Nessun Dato,Plòch,Poia,Bignaga,Migle,Fornér,Bechér,becaöcc,petònega,Pötvecc,l'ass de bastù,ol pisagì,butù,Bagnàt,l'ass de ori,l'ass de spade,Trobatit
86,Covo,scossàl,Roi,sibra,Nessun Dato,Cudeghì,Sacòcia,Telemora,tópa,Coèrcc,Solfanèl,Pedriöl,Podet,Nessun Dato,Plòch,Galina,Brognaga,Migole,Prestinér,Macelér,becaöcc,petònega,Nessun Dato,l'ass de bastù,l'ass de coppe,bigol,Bagnàt,l'ass de ori,l'ass de spade,Maserét
87,Credaro,Nessun Dato,Sunì,saàta,oroloi,Nessun Dato,Scarsèla,talamora,Nessun Dato,Nessun Dato,Solfanèl,Turtaröl,Podet,Nessun Dato,Plòch,Poia,Nessun Dato,Migle,Nessun Dato,Nessun Dato,becaöcc,petònega,Nessun Dato,Nessun Dato,Nessun Dato,bigol,Bagnàt,Nessun Dato,Nessun Dato,Bagnàt
88,Curno,bigaröla,Sunì,sibra,Orolòi,Codeghì,Scarsèla,Tiramola,topinéra,Coèrcc,Solfanèl,Pedriöl,Pighess,s-cioparöle,Plòch,Poia,Bignaga,Gandaie,Fornér,Macelér,becaöcc,petònega,Barba,l'ass de bastù,l'ass de coppe,butù,Bagnàt,la borla,l'ass de spade,Maserét
89,Cusio,Nessun Dato,Porsèl,Nessun Dato,Nessun Dato,Nessun Dato,Scarsèla,Nessun Dato,Nessun Dato,Nessun Dato,Solfanèl,Pedriöl,Folsc,méche,Corna,Pita,Mignaga,Migazze,Panetér,Bechér,becaöcc,petònega,Nessun Dato,l'ass de bastù,l'ass de coppe,Botol,Bagnàt,la formaggia,l'ass de spade,Slozzo
90,Dalmine,bigaröla,Sunì,sibra,Orolòi,Codeghì,Scarsèla,Tiramola,tarfù,Coèrcc,Solfanèl,Pedriöl,Pighess,s-cioparöle,Sàss,Poia,Mignaga,Migole,Fornér,Macelér,becaöcc,petònega,Barba,ol vincerai,ol pisì,butù,Bagnàt,l'ass de ori,l'ass de spade,Maserét
91,Dossena,Nessun Dato,Porsèl,sibra,Leròi,Codeghì,Scarsèla,Tiramola,tópa,Nessun Dato,Nessun Dato,Nessun Dato,Podet,Nessun Dato,Corna ,Poia,Nessun Dato,Migole,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Bagnàt,Nessun Dato,Nessun Dato,Laàt
92,Endine Gaiano,scossàl,Sunì,sibra,Orolòi,Strinù,Scarsèla,Telemora,tarfù,Coèrcc,Fiamifer,Pedriöl,Podet,Nessun Dato,Plòch,Poia,Albicòch,Migole,Fornér,Macelér,becaöcc,petònega,Pötvecc,l'ass de bastù,l'ass de coppe,butù,Bagnàt,l'ass de ori,l'ass de spade,Bagnàt
93,Entratico,bigaröla,Sunì,söbra,Orolòi,Cudeghì e/o Strinù,Scarsèla,Ragnatela,topinéra,Coèrcc,Fiamifer,Pedriöl,Podet,s-ciuparöle,Plòch,Poia,Albicocca,Fregoie,Fornér,Bechér,becaöcc,petònega,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato
94,Fara Gera d'Adda,scussàl,Pursèl,sibra,Orolòi,Cudeghì,Sacòcia,Tiramola,topinéra,Coèrcc,Solferì,Pedriöl,Pighess,Nessun Dato,Sàss,Galina,Albicòch,Fregoie,Prestinér,Macelér,scanaöcc,petònega,Marèll,l'ass de bastù,l'ass de coppe,butù,Bagnàt,l'ass de ori,l'ass de spade,Maserét
95,Fara Olivana con Sola,scussalina,Roi,sébra,Nessun Dato,Cudeghì,Secòcia,Talamora,tópa,Coèrcc,Solfanèl,Pedriöl,Pighess,s-cioparöle,Plòch,Galina,Albicòch,Fregoie,Prestinér,Macelér,Nessun Dato,petònega,Nessun Dato,l'ass de bastù,ol pisì,bigol,Bagnàt,l'ass de ori,l'ass de spade,Maserét
96,Filago,bigarla,Pursèl,sébra,Orolòi,Cudeghì,Sacòcia,Tiramola,tópa,Coèrcc,Solferì,Pedriöl,Pighess,s-cioparöle,Sàss,Poia,Mignaga,Gandaie,Prestinér,Macelér,becaöcc,petònega,Marèll,l'ass de bastù,ol pisì,butù,Bagnàt,l'ass de ori,l'ass de spade,Maserét
97,Fino del Monte,bigaröl,Porsèl,söbra,Leròi,Strinù,Sacòcia,Tilimora,topinéra,Coèrcc,Fiamifer,Pedriöl,Podet,Nessun Dato,Plòch,Poia,Albicòch,Migole,Fornér,Bechér,becaöcc,petònega,Pötvecc,Nessun Dato,Nessun Dato,Nessun Dato,Méss,Nessun Dato,Nessun Dato,Méss
98,Fiorano al Serio,bigaröla,Sunì,söbra,Leròi,Strinù,Scarsèla,Porana,busa,Coèrcc,Solfanèl,Pedriöl,Podet,s-cioparöle,Plòch,Poia,Bignaga,Migole,Fornér,Macelér,becaöcc,petònega,Pötvecc,l'ass de bastù,ol pisalobia,butù,Bagnàt,l'ass de ori,l'ass de spade,Bagnàt
99,Fontanella,scussàl,Roi,sibra,Urulòi,Cudeghì,Sacòcia,Talamora,tópa,Coèrcc,Sufanèl,Pedriöl,furset,Nessun Dato,Plòch,Galina,Mignaga,Fregoie,Prestinér,Bechér,Nessun Dato,petònega,Pöt,l'ass de bastù,l'ass de coppe,bigol,Bagnàt,l'ass de ori,l'ass de spade,Maserét
100,Fonteno,Nessun Dato,Nessun Dato,sibra,Nessun Dato,Strinù,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Podet,culumbine,Plòch,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato
101,Foppolo,scossàl,Nessun Dato,sibra,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Pedriöl,Sblam,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Masèr
102,Foresto Sparso,bigaröl,Sunì,sébra,Orolòi,Codeghì,Gaiòfa,Tiramola,tarfù,Coèrcc,Fiamifer,Törtöröl,Podet,s-cioparöle,Plòch,Poia,Bignaga,Migle,Fornér,Macelér,scanaöcc,petònega,Pöt,ol vincerai,l'ass de coppe,bigol,Bagnàt,l'ass de ori,l'ass de spade,Bagnàt
103,Fornovo San Giovanni,scossàl,Roi,sébra,Urelócc,Cudeghì,Sacòcia,Talamora,topinéra,Coèrcc,Fiamifer,Pedriöl,Podet,s-cioparöle,Sàss,Poia,Nessun Dato,Fregoie,Prestinér,Macelér,Nessun Dato,petònega,Pöt,Nessun Dato,Nessun Dato,butù,Bagnàt,Nessun Dato,Nessun Dato,Maserét
104,Fuipiano Valle Imagna,Nessun Dato,Porsèl,sébra,Nessun Dato,Cudeghì,Scarsèla,Telemora,tópa,Coèrcc,Fölminànt,Pedriöl,Corlass,Nessun Dato,Nessun Dato,Galina,Nessun Dato,Gandài,Fornér,Macelér,becaöcc,petònega,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato
105,Gandellino,bigaröla,Porsèl,saàta,Nessun Dato,Cudeghì,Sacòcia,Telimora,Nessun Dato,Coèrcc,Solfanèl,Pedriöl,Podet,Nessun Dato,Plòch,Galina,Bicoca ,Migole,paneter ,Macelér,Nessun Dato,petònega,Pötvecc,ol vincerai,ol pisalobia,butù,Bagnàt,La polenta,l'ass de spade,Trebatit
106,Gandino,bigarlina,Sunì,söbra,Leròi,Strinù,Gaiòfa,Telemora,topinéra,Coèrcc,Zac,Pedriöl,Podet,s-cioparöle,Plòch,Poia,Megnaga ,Migle,Fornér,Macelér,becaöcc,petònega,Pötvecc,ol bastù,ol pisì,butù,Bagnàt,l'ass de ori,l'ass de spade,Bagnàt
107,Gandosso,bigaröl,Sunì,söbra,Nessun Dato,Cudeghì,Nessun Dato,Calamore,Nessun Dato,Coèrcc,Nessun Dato,Pedriöl,Podet,Nessun Dato,Plòch,Poia,Nessun Dato,Nessun Dato,Nessun Dato,Bechér,Nessun Dato,Nessun Dato,Pöt,Nessun Dato,Nessun Dato,butù,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato
108,Gaverina Terme,bigarlì,Sunì,sébra,Nessun Dato,Nessun Dato,Nessun Dato,Telemora,Tapinera,Coèrcc,Solfanèl,Pedriöl,Podet,s-cioparöle,Plòch,Poia,Nessun Dato,Nessun Dato,Fornér,Bechér,becaöcc,zabèta,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Bagnàt,Nessun Dato,Nessun Dato,Bagnàt
109,Gazzaniga,scossàl,Porsèl,söbra,Leròi,Strinù,Scarsèla,Porana,tapinera,Coèrcc,Solfanèl,Pedriöl,Podet,Nessun Dato,Plòch,Poia,Bignaga,Migole,Fornér,Bechér,becaöcc,petònega,Pötvecc,l'ass de bastù,l'ass de coppe,butù,Bagnàt,l'ass de ori,l'ass de spade,Bagnàt
110,Ghisalba,bigaröl,Sunì,sibra,Orolòi,Codeghì,Scarsèla,Tiramola,tópa,Coèrcc,Solfanèl,Pedriöl,Podet,s-cioparöle,Plòch,Poia,Bignaga,Migle,Fornér,Macelér,Libellula,petònega,Pöt,l'ass de bastù,ol pisagì,butù,Bagnàt,l'ass de ori,l'ass de spade,Maserét
111,Gorlago,scossàl,Sunì,söbra,Orolòi,Cudeghì,Scarsèla,Tilamora,Nessun Dato,Coèrcc,Fiamifer,Pedriöl,Podet,Nessun Dato,Plòch,Poia,Bignaga,Nessun Dato,Fornér,Bechér,becaöcc,petònega,Pötvecc,ol bastù,ol pisì,butù,Bagnàt,la borla,l'ass de spade,Bagnàt
112,Gorle,bigaröla,Sunì,sibra,Orolòi,Codeghì,Scarsèla,Tiramola,tarfù,Coèrcc,Solfanèl,Pedriöl,Pighess,culumbine,Plòch,Poia,Bignaga,Migle,Fornér,Macelér,becaöcc,petònega,Pötvecc,l'ass de bastù,l'ass de coppe,butù,Bagnàt,l'ass de ori,l'ass de spade,Bagnàt
113,Gorno,scossàl,Porsèl,sébra,Leròi,Strinù,Gaiòfa,Telemora,topinéra,Coèrcc,Solfanèl,Pedriöl,Podet,s-cioparöle,Plòch,Poia,Bignaga,Migle,Fornér,Bechér,becaöcc,petònega,Pötvecc,ol vincerai,l'ass de coppe,butù,Bagnàt,la formaggia,l'ass de spade,Bagnàt
114,Grassobbio,bigaröl,Sunì,sibra,Eròi,Codeghì,Scarsèla,Tiramola,tópa,Coèrcc,Solfanèl,Pedriöl,Pighess,culumbine,Plòch,Poia,Rimane cosí. Albicocca,Migole,Fornér,Macelér,Nessun Dato,petònega,Pötvecc,l'ass de bastù,ol pisì,butù,Bagnàt,l'ass de ori,l'ass de spade,Maserét
115,Gromo,scossàl,Porsèl,sébra,Relòi,Strinù,Scarsèla,Telemora,Nessun Dato,Coèrcc,Solfanèl,Pedriöl,Podet,s-cioparöle,Plòch,Poia,Mignaga,Fregói,Fornér,Nessun Dato,becaöcc,petònega,Pötvecc,l'ass de bastù,ol pisì,butù,Mìss,l'ass de ori,l'ass de spade,Bagnàt
116,Grone,Nessun Dato,Sunì,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Telemora,topinéra,Coèrcc,Fiamifer,Pedriöl,Podet,Nessun Dato,Plòch,Poia,Bignaga,Migole,Nessun Dato,Nessun Dato,scanaöcc,Nessun Dato,Nessun Dato,l'ass de bastù,l'ass de coppe,bigol,Nessun Dato,l'ass de ori,l'ass de spade,Nessun Dato
117,Grumello del Monte,scossàl,Sunì,söbra,Orolòi,Codeghì,Scarsèla,Tiramora,tarfù,Coèrcc,Solfanèl,Pedriöl,Podet,s-cioparöle,Plòch,Poia,Bignaga,Migle,Fornér,Macelér,scanaöcc,petònega,Pöt,ol vincerai,ol pisagì,Nessun Dato,Bagnàt,la borla,l'ass de spade,Bagnàt
118,Isola di Fondra,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Sblam,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato
119,Isso,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Plòch,Nessun Dato,Nessun Dato,Fregoie,Nessun Dato,Nessun Dato,Nessun Dato,petònega,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato
